5.7600 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
5.7609 	INFO 	Loaded monitor calibration from ['2025_03_11 15:24']
6.4309 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002539391D540>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002539391D480>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002538BC39930>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 240.0], screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.4309 	EXP 	window1: backgroundImage = ''
6.4309 	EXP 	window1: backgroundFit = 'none'
6.4379 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4387 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4395 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4405 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4414 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4420 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4428 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4438 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4441 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4445 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4454 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4464 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4471 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4479 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4486 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4494 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4502 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4507 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4512 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4522 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4527 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4530 	DEBUG 	Uploading Texture Font fontname to graphics card
6.4552 	DEBUG 	Upload of Texture Font fontname complete
6.4633 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4649 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4661 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.4664 	DEBUG 	Uploading Texture Font fontname to graphics card
6.4674 	DEBUG 	Upload of Texture Font fontname complete
